horizon_blocks,start_agent_risk_state,start_agent_execution_mode,rows,future_bad_rate,avoided_bad_count,baseline_bad_exposure,agent_bad_exposure,avoided_bad_exposure,baseline_future_risk_exposure,agent_future_risk_exposure,avoided_future_risk_exposure
5,CAUTION,REDUCE_SIZE,177,0.288135593220339,0,51.0,18.9,32.1,129.7048513,57.4576700175,72.2471812825
5,EARLY_CAUTION,SELECTIVE_EXECUTE,23,0.043478260869565216,0,1.0,0.75,0.25,11.5776925,8.683269375,2.894423125
5,HIGH_STRESS,PAUSE,42,1.0,42,42.0,0.0,42.0,49.77803565,0.0,49.77803565
5,NORMAL,EXECUTE_FULL,117,0.008547008547008548,0,1.0,1.0,0.0,53.0307521,53.0307521,0.0
5,RECOVERY,RESUME_GRADUALLY,152,0.039473684210526314,0,6.0,3.0,3.0,88.29280755,44.146403775,44.146403775
10,CAUTION,REDUCE_SIZE,172,0.27906976744186046,0,48.0,18.5,29.5,125.9133759,56.3156870075,69.5976888925
10,EARLY_CAUTION,SELECTIVE_EXECUTE,23,0.043478260869565216,0,1.0,0.75,0.25,11.52868825,8.6465161875,2.8821720625
10,HIGH_STRESS,PAUSE,42,1.0,42,42.0,0.0,42.0,49.95974295,0.0,49.95974295
10,NORMAL,EXECUTE_FULL,117,0.008547008547008548,0,1.0,1.0,0.0,53.27084105,53.27084105,0.0
10,RECOVERY,RESUME_GRADUALLY,152,0.05921052631578947,0,9.0,4.5,4.5,89.3785755,44.68928775,44.68928775
20,CAUTION,REDUCE_SIZE,168,0.27380952380952384,0,46.0,19.1,26.9,123.47996335,55.8170623425,67.6629010075
20,EARLY_CAUTION,SELECTIVE_EXECUTE,23,0.043478260869565216,0,1.0,0.75,0.25,11.54181855,8.6563639125,2.8854546375
20,HIGH_STRESS,PAUSE,42,1.0,42,42.0,0.0,42.0,47.99091335,0.0,47.99091335
20,NORMAL,EXECUTE_FULL,117,0.008547008547008548,0,1.0,1.0,0.0,53.92602915,53.92602915,0.0
20,RECOVERY,RESUME_GRADUALLY,152,0.10526315789473684,0,16.0,8.0,8.0,91.21280345,45.606401725,45.606401725
