source_id,latest_block,agent_risk_state,agent_execution_mode,baseline_notional,agent_notional,baseline_paper_gas_paid_proxy,agent_paper_gas_paid_proxy,avoided_paper_gas_paid_proxy,paper_gas_paid_proxy_reduction,baseline_paper_slippage_proxy,agent_paper_slippage_proxy,avoided_paper_slippage_proxy,paper_slippage_proxy_reduction,baseline_paper_failed_tx_cost_proxy,agent_paper_failed_tx_cost_proxy,avoided_paper_failed_tx_cost_proxy,paper_failed_tx_cost_proxy_reduction,baseline_paper_confirmation_delay_blocks_proxy,agent_paper_confirmation_delay_blocks_proxy,avoided_paper_confirmation_delay_blocks_proxy,paper_confirmation_delay_blocks_proxy_reduction,baseline_paper_execution_cost_proxy,agent_paper_execution_cost_proxy,avoided_paper_execution_cost_proxy,paper_execution_cost_proxy_reduction,baseline_opportunity_capture_proxy,agent_opportunity_capture_proxy,avoided_opportunity_capture_proxy,opportunity_capture_proxy_reduction
24993716_2026-04-30T15:38:24.572292+00:00,24993716,CAUTION,REDUCE_SIZE,1.0,0.25,1.018932,0.254733,0.764199,0.75,0.2689319999999999,0.0672329999999999,0.201699,0.7500000000000002,0.0706574,0.01766435,0.05299305,0.75,4.7949607,4.7949607,0.0,0.0,1.83801747,0.4595043674999999,1.3785131025000001,0.7500000000000001,1.0,0.25,0.75,0.75
24993872_2026-04-30T15:38:36.621869+00:00,24993872,HIGH_STRESS,PAUSE,1.0,0.0,1.261322,0.0,1.261322,1.0,0.511322,0.0,0.511322,1.0,0.484307,0.0,0.484307,1.0,6.2459101,0.0,6.2459101,1.0,2.88154201,0.0,2.88154201,1.0,1.0,0.0,1.0,1.0
24993873_2026-04-30T15:38:48.675160+00:00,24993873,HIGH_STRESS,PAUSE,1.0,0.0,1.260158,0.0,1.260158,1.0,0.5101579999999999,0.0,0.5101579999999999,1.0,0.4852665,0.0,0.4852665,1.0,6.2487704,0.0,6.2487704,1.0,2.8804595399999995,0.0,2.8804595399999995,1.0,1.0,0.0,1.0,1.0
24993874_2026-04-30T15:39:00.750887+00:00,24993874,HIGH_STRESS,PAUSE,1.0,0.0,1.2624,0.0,1.2624,1.0,0.5124,0.0,0.5124,1.0,0.4862485,0.0,0.4862485,1.0,6.2562495,0.0,6.2562495,1.0,2.88667345,0.0,2.88667345,1.0,1.0,0.0,1.0,1.0
24993875_2026-04-30T15:39:12.817062+00:00,24993875,HIGH_STRESS,PAUSE,1.0,0.0,1.264326,0.0,1.264326,1.0,0.5143260000000001,0.0,0.5143260000000001,1.0,0.4873448,0.0,0.4873448,1.0,6.2622989,0.0,6.2622989,1.0,2.89222669,0.0,2.89222669,1.0,1.0,0.0,1.0,1.0
24993876_2026-04-30T15:39:24.876427+00:00,24993876,HIGH_STRESS,PAUSE,1.0,0.0,1.258242,0.0,1.258242,1.0,0.5082420000000001,0.0,0.5082420000000001,1.0,0.482147,0.0,0.482147,1.0,6.2368201,0.0,6.2368201,1.0,2.87231301,0.0,2.87231301,1.0,1.0,0.0,1.0,1.0
24993877_2026-04-30T15:39:36.934080+00:00,24993877,HIGH_STRESS,PAUSE,1.0,0.0,1.247932,0.0,1.247932,1.0,0.497932,0.0,0.497932,1.0,0.4777381,0.0,0.4777381,1.0,6.2081623,0.0,6.2081623,1.0,2.84441833,0.0,2.84441833,1.0,1.0,0.0,1.0,1.0
24993878_2026-04-30T15:39:49.079255+00:00,24993878,HIGH_STRESS,PAUSE,1.0,0.0,1.24283,0.0,1.24283,1.0,0.4928300000000001,0.0,0.4928300000000001,1.0,0.4718397,0.0,0.4718397,1.0,6.1838974,0.0,6.1838974,1.0,2.82588944,0.0,2.82588944,1.0,1.0,0.0,1.0,1.0
24993881_2026-04-30T15:40:25.240187+00:00,24993881,HIGH_STRESS,PAUSE,1.0,0.0,1.250958,0.0,1.250958,1.0,0.500958,0.0,0.500958,1.0,0.474278,0.0,0.474278,1.0,6.2079469,0.0,6.2079469,1.0,2.84698869,0.0,2.84698869,1.0,1.0,0.0,1.0,1.0
24993891_2026-04-30T15:42:27.903295+00:00,24993891,HIGH_STRESS,PAUSE,1.0,0.0,1.284041,0.0,1.284041,1.0,0.534041,0.0,0.534041,1.0,0.50426655,0.0,0.50426655,1.0,6.3499839,0.0,6.3499839,1.0,2.95734694,0.0,2.95734694,1.0,1.0,0.0,1.0,1.0
24993896_2026-04-30T15:43:28.436308+00:00,24993896,CAUTION,REDUCE_SIZE,1.0,0.5,0.991942,0.495971,0.495971,0.5,0.241942,0.120971,0.120971,0.5,0.3220893,0.16104465,0.16104465,0.5,5.3297102,5.3297102,0.0,0.0,2.08894432,1.04447216,1.04447216,0.5,1.0,0.5,0.5,0.5
24993901_2026-04-30T15:44:28.860723+00:00,24993901,CAUTION,REDUCE_SIZE,1.0,0.25,1.007497,0.25187425,0.7556227500000001,0.75,0.2574970000000001,0.06437425,0.1931227500000001,0.7500000000000001,0.32855875,0.0821396875,0.2464190625,0.75,5.3664361,5.3664361,0.0,0.0,2.13019636,0.5325490900000001,1.5976472699999997,0.75,1.0,0.25,0.75,0.75
24993906_2026-04-30T15:45:29.343615+00:00,24993906,CAUTION,REDUCE_SIZE,1.0,0.25,1.020966,0.2552415,0.7657245,0.75,0.270966,0.0677415,0.20322449999999997,0.75,0.3356279,0.083906975,0.251720925,0.75,5.406090600000001,5.406090600000001,0.0,0.0,2.16816896,0.54204224,1.62612672,0.75,1.0,0.25,0.75,0.75
24993911_2026-04-30T15:46:29.632729+00:00,24993911,CAUTION,REDUCE_SIZE,1.0,0.25,1.024704,0.256176,0.7685280000000001,0.75,0.274704,0.068676,0.206028,0.75,0.3435237,0.085880925,0.257642775,0.75,5.4327131,5.4327131,0.0,0.0,2.1862030100000003,0.5465507525000001,1.6396522575000003,0.75,1.0,0.25,0.75,0.75
24993916_2026-04-30T15:47:30.190788+00:00,24993916,CAUTION,REDUCE_SIZE,1.0,0.5,0.972355,0.4861775,0.4861775,0.5,0.2223549999999999,0.1111774999999999,0.11117750000000001,0.5000000000000002,0.32016135,0.160080675,0.160080675,0.5,5.2838832,5.2838832,0.0,0.0,2.04325967,1.021629835,1.021629835,0.5,1.0,0.5,0.5,0.5
24993921_2026-04-30T15:48:30.420435+00:00,24993921,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.898689,0.4493445,0.4493445,0.5,0.106499,0.0532495,0.0532495,0.5,0.01201245,0.006006225,0.006006225,0.5,4.4896166,4.4896166,0.0,0.0,1.46616211,0.733081055,0.733081055,0.5,1.0,0.5,0.5,0.5
24993926_2026-04-30T15:49:30.683247+00:00,24993926,CAUTION,REDUCE_SIZE,1.0,0.5,0.903315,0.4516575,0.4516575,0.5,0.116249,0.0581245,0.0581245,0.5,0.01635015,0.008175075,0.008175075,0.5,4.5332084,4.5332084,0.0,0.0,1.48923499,0.744617495,0.744617495,0.5,1.0,0.5,0.5,0.5
24993931_2026-04-30T15:50:31.035112+00:00,24993931,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.917113,0.4585565,0.4585565,0.5,0.1671129999999999,0.0835564999999999,0.0835565,0.5000000000000003,0.03360605,0.016803025,0.016803025,0.5,4.588489,4.588489,0.0,0.0,1.57668095,0.7883404749999999,0.7883404750000002,0.5000000000000001,1.0,0.5,0.5,0.5
24993936_2026-04-30T15:51:31.323412+00:00,24993936,CAUTION,REDUCE_SIZE,1.0,0.5,0.909862,0.454931,0.454931,0.5,0.1598619999999999,0.0799309999999999,0.07993099999999999,0.5000000000000002,0.0266582999999999,0.0133291499999999,0.013329149999999998,0.5000000000000018,4.5672112,4.5672112,0.0,0.0,1.5531034199999998,0.7765517099999999,0.7765517099999999,0.5,1.0,0.5,0.5,0.5
24993941_2026-04-30T15:52:31.923109+00:00,24993941,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.899295,0.4496475,0.4496475,0.5,0.1492949999999999,0.0746474999999999,0.0746475,0.5000000000000003,0.02477095,0.012385475,0.012385475,0.5,4.5491988,4.5491988,0.0,0.0,1.52828083,0.764140415,0.764140415,0.5,1.0,0.5,0.5,0.5
24993946_2026-04-30T15:53:32.396139+00:00,24993946,CAUTION,REDUCE_SIZE,1.0,0.5,0.902983,0.4514915,0.4514915,0.5,0.1790009999999999,0.0895004999999999,0.08950050000000001,0.5000000000000003,0.04224435,0.021122175,0.021122175,0.5,4.6136178,4.6136178,0.0,0.0,1.58559013,0.792795065,0.792795065,0.5,1.0,0.5,0.5,0.5
24994657_2026-04-30T18:16:45.131477+00:00,24994657,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.842822,0.421411,0.421411,0.5,0.0928219999999999,0.0464109999999999,0.04641100000000001,0.5000000000000006,0.0,0.0,0.0,0.0,4.2351885,4.2351885,0.0,0.0,1.35916285,0.679581425,0.679581425,0.5,1.0,0.5,0.5,0.5
24994658_2026-04-30T18:16:57.246127+00:00,24994658,NORMAL,EXECUTE_FULL,1.0,1.0,0.846186,0.846186,0.0,0.0,0.096186,0.096186,0.0,0.0,0.0,0.0,0.0,0.0,4.2430617,4.2430617,0.0,0.0,1.36667817,1.36667817,0.0,0.0,1.0,1.0,0.0,0.0
24994659_2026-04-30T18:17:09.342623+00:00,24994659,CAUTION,REDUCE_SIZE,1.0,0.5,0.857147,0.4285735,0.4285735,0.5,0.1071469999999999,0.0535734999999999,0.053573499999999996,0.5000000000000004,0.00250145,0.001250725,0.001250725,0.5,4.27785,4.27785,0.0,0.0,1.39458045,0.697290225,0.697290225,0.5,1.0,0.5,0.5,0.5
24994660_2026-04-30T18:17:21.458355+00:00,24994660,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.864579,0.4322895,0.4322895,0.5,0.1145789999999999,0.0572894999999999,0.0572895,0.5000000000000004,0.00510265,0.002551325,0.002551325,0.5,4.2996162,4.2996162,0.0,0.0,1.41422227,0.707111135,0.707111135,0.5,1.0,0.5,0.5,0.5
24994661_2026-04-30T18:17:33.537471+00:00,24994661,CAUTION,REDUCE_SIZE,1.0,0.5,0.872257,0.4361285,0.4361285,0.5,0.1222569999999999,0.0611284999999999,0.061128499999999995,0.5000000000000004,0.0077899499999999,0.0038949749999999,0.0038949749999999997,0.5000000000000064,4.3237267,4.3237267,0.0,0.0,1.4346766199999998,0.7173383099999999,0.7173383099999999,0.5,1.0,0.5,0.5,0.5
