feedback_written_at,symbol,paper_trade_id,execution_status,fill_status,requested_notional,filled_notional,fill_ratio,latency_ms,slippage_bps,fee,slippage_cost,total_execution_cost,execution_quality_score,latency_penalty,slippage_penalty,cost_penalty,fill_bonus,net_execution_score,cost_rate,feedback_label,recommended_learning_action,policy_stage,policy_trust_label,provider_data_hash
2026-06-26T14:22:42.112806+00:00,BTC/USDT,NO_TRADE_cff8baf9c2,SKIPPED,NO_ORDER,0.0,0.0,0.0,924,21.540924,0.0,0.0,0.0,0.0,0.0924,0.107705,0.0,0.0,-0.200105,0.0,NO_EXECUTION_FEEDBACK,COLLECT_MORE_EXECUTION_DATA,DRAFT,UNTRUSTED,a57b55f42a90eece5e4d1bddb81a6d1b5cf78b90c2320fb64ffe20e11e1e7c2a
2026-06-26T14:22:42.112806+00:00,ETH/USDT,NO_TRADE_141b419e16,SKIPPED,NO_ORDER,0.0,0.0,0.0,369,9.648091,0.0,0.0,0.0,0.0,0.0369,0.04824,0.0,0.0,-0.08514,0.0,NO_EXECUTION_FEEDBACK,COLLECT_MORE_EXECUTION_DATA,DRAFT,UNTRUSTED,be53a7a33afb55683d822312601b859f6cc29330aa383b66820ec913a7acaa59
2026-06-26T14:22:42.112806+00:00,SOL/USDT,NO_TRADE_1b61593567,SKIPPED,NO_ORDER,0.0,0.0,0.0,514,7.486592,0.0,0.0,0.0,0.0,0.0514,0.037433,0.0,0.0,-0.088833,0.0,NO_EXECUTION_FEEDBACK,COLLECT_MORE_EXECUTION_DATA,DRAFT,UNTRUSTED,084d7d484bdb9e824f42e08ce61daa7b2676b4adf31f3678dee143e3aa2a4e80
2026-06-26T14:22:42.112806+00:00,BNB/USDT,NO_TRADE_211c671d4d,SKIPPED,NO_ORDER,0.0,0.0,0.0,719,11.221824,0.0,0.0,0.0,0.0,0.0719,0.056109,0.0,0.0,-0.128009,0.0,NO_EXECUTION_FEEDBACK,COLLECT_MORE_EXECUTION_DATA,DRAFT,UNTRUSTED,42591204fa397aeaf43c5364217728f1a39f64625f90fffb8a20c90c2847818b
2026-06-26T14:22:42.112806+00:00,XRP/USDT,NO_TRADE_7b15666788,SKIPPED,NO_ORDER,0.0,0.0,0.0,681,7.7546,0.0,0.0,0.0,0.0,0.0681,0.038773,0.0,0.0,-0.106873,0.0,NO_EXECUTION_FEEDBACK,COLLECT_MORE_EXECUTION_DATA,DRAFT,UNTRUSTED,4343cdb305c6bab43de422f6330f13c23ba9a8d6c247956ba3c743e093cd390c
2026-06-26T14:22:42.112806+00:00,DOGE/USDT,NO_TRADE_268d758dd5,SKIPPED,NO_ORDER,0.0,0.0,0.0,651,7.220005,0.0,0.0,0.0,0.0,0.0651,0.0361,0.0,0.0,-0.1012,0.0,NO_EXECUTION_FEEDBACK,COLLECT_MORE_EXECUTION_DATA,DRAFT,UNTRUSTED,e683a4b756a1a1b807eab04401ba37bd045784d2af7b18ec8450f19e34ead580
2026-06-26T14:22:42.112806+00:00,ADA/USDT,NO_TRADE_92e115ceb1,SKIPPED,NO_ORDER,0.0,0.0,0.0,836,10.124157,0.0,0.0,0.0,0.0,0.0836,0.050621,0.0,0.0,-0.134221,0.0,NO_EXECUTION_FEEDBACK,COLLECT_MORE_EXECUTION_DATA,DRAFT,UNTRUSTED,34606dcf3471d7dac7f1cca0b6be320e2a333d14c90b4eebd4cc7f88b783c649
2026-06-26T14:22:42.112806+00:00,AVAX/USDT,NO_TRADE_6857c0b53a,SKIPPED,NO_ORDER,0.0,0.0,0.0,771,7.921458,0.0,0.0,0.0,0.0,0.0771,0.039607,0.0,0.0,-0.116707,0.0,NO_EXECUTION_FEEDBACK,COLLECT_MORE_EXECUTION_DATA,DRAFT,UNTRUSTED,1d475ee5abbb0bd39036422eda8e8da5c7b5f09041eb0a20300c20ca43fb0113
2026-06-26T14:22:42.112806+00:00,LINK/USDT,NO_TRADE_2d51abfca7,SKIPPED,NO_ORDER,0.0,0.0,0.0,467,6.443418,0.0,0.0,0.0,0.0,0.0467,0.032217,0.0,0.0,-0.078917,0.0,NO_EXECUTION_FEEDBACK,COLLECT_MORE_EXECUTION_DATA,DRAFT,UNTRUSTED,3674fe04f9c161124f00c69af2f9b7888b231b9b56fb32f6102b2859330a57ce
2026-06-26T14:22:42.112806+00:00,TON/USDT,NO_TRADE_ae48087aae,SKIPPED,NO_ORDER,0.0,0.0,0.0,1007,9.869078,0.0,0.0,0.0,0.0,0.1007,0.049345,0.0,0.0,-0.150045,0.0,NO_EXECUTION_FEEDBACK,COLLECT_MORE_EXECUTION_DATA,DRAFT,UNTRUSTED,a650657a41ef3e8f466b051207b36db31aea430169959a3b0a0304433ad13b3a
