alert_written_at,symbol,alerts,previous_regime,current_regime,previous_guidance,current_guidance,spread_delta,stress_score_delta,imbalance_delta,confidence,provider_hash
2026-05-25T09:57:00.367086+00:00,BTC/USDT,IMBALANCE_SPIKE,CAUTION,CAUTION,REDUCE_SIZE,REDUCE_SIZE,-0.000153,0.124993,0.5,0.724993,23786ccc67745a94fd7171aba8cbebab6bb2360b5f40c1beec7040264a7507b3
2026-05-25T09:57:00.367086+00:00,DOGE/USDT,IMBALANCE_SPIKE,NORMAL,NORMAL,EXECUTE,EXECUTE,0.000379,0.139998,0.56,0.770036,5f19f6e81e23f92abac7d396bea3ebbf38b6cc111d53b6ed54c401d28e1dcc98
2026-05-25T09:57:00.367086+00:00,TON/USDT,REGIME_TRANSITION_NORMAL_TO_CAUTION,NORMAL,CAUTION,EXECUTE,REDUCE_SIZE,0.013164,0.040761,0.16,0.472077,f8ac3882ad738046047f4030b72592fc73cec7e33c3b7278ab3c796b8928f7ea
2026-05-25T09:58:21.371850+00:00,TON/USDT,REGIME_TRANSITION_CAUTION_TO_NORMAL,CAUTION,NORMAL,REDUCE_SIZE,EXECUTE,-1.669061,-0.083934,-0.04,0.35,d97680ed2784a1548f8ed571c8caede27760d6cb4ad7b18d483d62535910bb70
2026-05-25T09:59:05.856351+00:00,BTC/USDT,IMBALANCE_SPIKE,CAUTION,CAUTION,REDUCE_SIZE,REDUCE_SIZE,-1e-06,0.06,0.24,0.53,d97658aafe574d38da347ab1577c04d711bbf55284ac3bca8db060bcf18593ec
2026-05-25T09:59:49.263145+00:00,ETH/USDT,IMBALANCE_SPIKE,NORMAL,NORMAL,EXECUTE,EXECUTE,3e-06,0.051678,0.28,0.541678,46a7f557ce21a488c654147f3c2002b27bed331e0cabd00d99519621e2f39ee8
2026-05-25T09:59:49.263145+00:00,SOL/USDT,IMBALANCE_SPIKE,NORMAL,NORMAL,EXECUTE,EXECUTE,-0.000135,0.056011,0.22,0.516011,9014f4fe3fbd078dde98c0a4ff64e833a1699d9638b5b3dda50d5d2d8649c46a
2026-05-25T09:59:49.263145+00:00,DOGE/USDT,IMBALANCE_SPIKE,NORMAL,NORMAL,EXECUTE,EXECUTE,0.000568,0.065194,0.26,0.545251,f41d71f64a3191ab5aa9cfe510224bd06af91b57c7cd66f46b710b8da40e89eb
2026-05-25T10:00:31.491148+00:00,ETH/USDT,"IMBALANCE_SPIKE,REGIME_TRANSITION_NORMAL_TO_CAUTION",NORMAL,CAUTION,EXECUTE,REDUCE_SIZE,1e-05,0.116415,0.28,0.606416,0273ce34a5181121f669e38a611ed84178963ac0face50afed241eab394ab1d1
2026-05-25T10:00:31.491148+00:00,ADA/USDT,"SPREAD_EXPANDING_FAST,STRESS_SCORE_JUMP,REGIME_TRANSITION_NORMAL_TO_CAUTION",NORMAL,CAUTION,EXECUTE,REDUCE_SIZE,4.080799,0.22361,0.16,1.0,bcc297b8c220bd8cb9349afe1b2c5224afc5006926f1a17f40d00472ba768f04
2026-05-25T10:01:16.702848+00:00,ETH/USDT,REGIME_TRANSITION_CAUTION_TO_NORMAL,CAUTION,NORMAL,REDUCE_SIZE,EXECUTE,-6e-06,-0.045041,-0.22,0.35,3944833048bf1575e815ffe108e7a912a65d71515f7ca1c34597a146466f16ee
2026-05-25T10:01:16.702848+00:00,TON/USDT,"SPREAD_EXPANDING_FAST,REGIME_TRANSITION_NORMAL_TO_CAUTION",NORMAL,CAUTION,EXECUTE,REDUCE_SIZE,2.219448,0.083611,-0.06,0.655556,11cd7e980cefdf18ace27cf4cee8f12d97e5b17377db343ae6ad8552a63b3e26
2026-05-25T10:08:27.575705+00:00,BTC/USDT,IMBALANCE_SPIKE,CAUTION,CAUTION,REDUCE_SIZE,REDUCE_SIZE,2e-06,0.065,0.26,0.545,f98ed0fa3b73748cd4050b60cf363c536bc9390a8d950998dde443b104255c37
2026-05-25T10:08:27.575705+00:00,ETH/USDT,IMBALANCE_SPIKE,NORMAL,NORMAL,EXECUTE,EXECUTE,-1.7e-05,0.064804,0.32,0.574804,0a58a8dbfbe0c70b1c2b9b3beeedbd23fd5c2a4f7c52fe87df99c6689a1c9148
2026-05-25T10:08:27.575705+00:00,ADA/USDT,REGIME_TRANSITION_CAUTION_TO_NORMAL,CAUTION,NORMAL,REDUCE_SIZE,EXECUTE,0.0,-0.024982,-0.1,0.35,323a8cea2363a6f66e7d95492edefe2c120c27c658d8b2ce6369de66af51ec59
2026-05-25T10:08:27.575705+00:00,TON/USDT,REGIME_TRANSITION_CAUTION_TO_NORMAL,CAUTION,NORMAL,REDUCE_SIZE,EXECUTE,-2.224825,-0.116221,-0.08,0.35,e4ab02e2a71a35e0414583c0b03d6a4ba302ba0dea0c84cc2f68f7fd2a7002df
2026-05-25T10:09:23.133700+00:00,ADA/USDT,"SPREAD_EXPANDING_FAST,STRESS_SCORE_JUMP,REGIME_TRANSITION_NORMAL_TO_CAUTION",NORMAL,CAUTION,EXECUTE,REDUCE_SIZE,4.075807,0.168376,-0.06,0.925957,4b1b8a8485ff5eb91f341d0277b2292e2a74fe658f21e42d38dc4db08b91d330
2026-05-25T10:09:23.133700+00:00,TON/USDT,SPREAD_EXPANDING_FAST,NORMAL,NORMAL,EXECUTE,EXECUTE,2.217631,0.086196,-0.04,0.657959,0425fbd7328cb266e1b5b61d4a643f9a3f596852804726e93b90aa0abe7bf4cc
2026-05-28T01:53:38.395105+00:00,BNB/USDT,"STRESS_SCORE_JUMP,REGIME_TRANSITION_NORMAL_TO_CAUTION",NORMAL,CAUTION,EXECUTE,REDUCE_SIZE,0.035287,0.242864,0.1,0.646393,ea301038f441ed49aa5e151445b3755378bc9d74a5f6eb7409d198bcbc4babac
2026-05-28T01:53:38.395105+00:00,DOGE/USDT,IMBALANCE_SPIKE,NORMAL,NORMAL,EXECUTE,EXECUTE,0.023431,0.056052,0.22,0.518395,b2a2fcd13800829c08131f0377f7b843728dc46c00b2448a83400167f86ce5d1
2026-05-28T01:53:38.395105+00:00,ADA/USDT,REGIME_TRANSITION_CAUTION_TO_NORMAL,CAUTION,NORMAL,REDUCE_SIZE,EXECUTE,-3.948738,-0.167631,0.04,0.37,86ba5ba4e735bf1e6bb222c71450e64dae09c7be7004d5b0a7ab0fbe50004824
2026-05-28T01:53:38.395105+00:00,AVAX/USDT,IMBALANCE_SPIKE,NORMAL,NORMAL,EXECUTE,EXECUTE,1.145466,0.136075,0.32,0.760622,4fb121f75fd156bd8102ebe78c196a09f278140802e5e0bb5855361bc94341f7
2026-05-28T01:53:38.395105+00:00,LINK/USDT,IMBALANCE_SPIKE,NORMAL,NORMAL,EXECUTE,EXECUTE,0.05036,0.072761,0.28,0.567797,7b02c29ab1129e5ffc6d539f3d10c03e8208f19e50ea03f00347ade57621ad28
2026-05-29T04:04:08.235797+00:00,BTC/USDT,"STRESS_SCORE_JUMP,IMBALANCE_SPIKE,REGIME_TRANSITION_CAUTION_TO_HIGH_STRESS",CAUTION,HIGH_STRESS,REDUCE_SIZE,PAUSE,0.000177,0.180008,0.72,0.890026,41eabb1a887ab0cc2e3c887395a9668f267582cef9fa010ceb2f1c0d6f2cc820
2026-05-29T04:04:08.235797+00:00,BNB/USDT,REGIME_TRANSITION_CAUTION_TO_NORMAL,CAUTION,NORMAL,REDUCE_SIZE,EXECUTE,0.026019,-0.230049,-0.12,0.352602,c38b3c4159f56705b3298fb1dd1bf82f58fce079c6babb31631e19333bd043b8
2026-05-29T04:04:08.235797+00:00,XRP/USDT,IMBALANCE_SPIKE,CAUTION,CAUTION,REDUCE_SIZE,REDUCE_SIZE,-0.046796,0.082874,0.34,0.602874,edcbc36d3f443b8e589030a75985dfa70e39b647727e797a3eac9ba4fdaa9081
2026-05-29T04:04:08.235797+00:00,LINK/USDT,SPREAD_EXPANDING_FAST,NORMAL,NORMAL,EXECUTE,EXECUTE,2.253639,-0.002588,-0.42,0.575364,13f8041ecbccb3d9746b8bedd182a4aa03134597592b09f3dfe6e7d863b7089c
2026-05-29T04:04:49.550200+00:00,BTC/USDT,REGIME_TRANSITION_HIGH_STRESS_TO_CAUTION,HIGH_STRESS,CAUTION,PAUSE,REDUCE_SIZE,-2e-06,-0.03,-0.12,0.35,c440b44338a49a6aef56b9091b44ae75d3b5a61a339ca7af873465a3d372b299
2026-05-29T04:04:49.550200+00:00,ETH/USDT,IMBALANCE_SPIKE,NORMAL,NORMAL,EXECUTE,EXECUTE,-2.1e-05,0.135089,0.56,0.765089,841fd5d67d29de7324234f4e07fa98ae5fe5e8f9f13025d6bdbbcf1b51b101a8
2026-05-29T04:04:49.550200+00:00,ADA/USDT,"SPREAD_EXPANDING_FAST,STRESS_SCORE_JUMP,REGIME_TRANSITION_NORMAL_TO_CAUTION",NORMAL,CAUTION,EXECUTE,REDUCE_SIZE,4.278071,0.182495,-0.04,0.960302,8829737c14c2e153d737c451a9eaab4477a2e42511c96d311b69e22d8c3e6a04
2026-05-29T04:05:26.801657+00:00,BNB/USDT,REGIME_TRANSITION_NORMAL_TO_CAUTION,NORMAL,CAUTION,EXECUTE,REDUCE_SIZE,0.000247,0.083194,-0.02,0.433219,101890f466d76390647de6c886baeceb7dd26dcdf59bebadb10c8f72a4e23e4e
2026-05-29T04:05:26.801657+00:00,ADA/USDT,REGIME_TRANSITION_CAUTION_TO_NORMAL,CAUTION,NORMAL,REDUCE_SIZE,EXECUTE,-4.279905,-0.207565,-0.06,0.35,05e43720df5c03ca9e9985d7c401be34d4ce65dd148e7ffdce8526ab05b19a59
2026-05-29T04:06:03.395023+00:00,ETH/USDT,IMBALANCE_SPIKE,NORMAL,NORMAL,EXECUTE,EXECUTE,1.1e-05,0.108681,0.4,0.658682,28ed7a51f61f7469d26e399f37423d6736b55282d2e343537e25a6c00abe8f29
2026-05-29T04:06:03.395023+00:00,BNB/USDT,REGIME_TRANSITION_CAUTION_TO_NORMAL,CAUTION,NORMAL,REDUCE_SIZE,EXECUTE,0.000495,-0.161178,0.0,0.350049,a9d45ad72868e9c7b456100c99027446144f4da3b4be39ac78d9937f3d7bc2c7
2026-05-29T04:07:17.559600+00:00,BTC/USDT,IMBALANCE_SPIKE,CAUTION,CAUTION,REDUCE_SIZE,REDUCE_SIZE,9e-06,0.085,0.34,0.605001,244f49d34b249b6be27131d8adc1eeef491a32107fce03d6910939b922e418ca
2026-05-29T04:07:17.559600+00:00,ETH/USDT,IMBALANCE_SPIKE,NORMAL,NORMAL,EXECUTE,EXECUTE,3.8e-05,0.067698,0.26,0.547702,f6f2f2875b868fd174bf22abb73a6fa04967422375deded2395574c72f5dfa57
2026-05-29T04:07:17.559600+00:00,SOL/USDT,IMBALANCE_SPIKE,NORMAL,NORMAL,EXECUTE,EXECUTE,0.001052,0.070353,0.28,0.560458,009000bd112950efd7d3651d0ca89f2aba9a148eea6d3f619325fba772cc0138
2026-05-29T04:07:17.559600+00:00,XRP/USDT,IMBALANCE_SPIKE,CAUTION,CAUTION,REDUCE_SIZE,REDUCE_SIZE,0.005827,0.060254,0.24,0.530837,18f78e11de3c867a028efd86dfcbdd9be693f9e7e2b95c67d88c64abcd2d0492
2026-05-29T04:07:17.559600+00:00,AVAX/USDT,"SPREAD_EXPANDING_FAST,REGIME_TRANSITION_NORMAL_TO_CAUTION",NORMAL,CAUTION,EXECUTE,REDUCE_SIZE,2.255046,0.127337,0.1,0.752842,473659299ae2f1cd8922a246cd6912dd5beb5c94c1b3ca48eafc58d4a893e7bf
2026-05-29T04:07:17.559600+00:00,LINK/USDT,SPREAD_EXPANDING_FAST,NORMAL,NORMAL,EXECUTE,EXECUTE,2.237637,0.066264,-0.12,0.640028,5b954c4345c3cf5581822c02331a1cad537c15f176cf8dc013bc36051084e238
2026-05-29T04:07:56.623840+00:00,AVAX/USDT,REGIME_TRANSITION_CAUTION_TO_NORMAL,CAUTION,NORMAL,REDUCE_SIZE,EXECUTE,-2.254155,-0.081304,0.04,0.37,54f39176463607607693c87f4c7e7f149d1de715b0030f420df4ae25c8c5d31f
