receipt_written_at,symbol,regime,guidance,stress_score,spread_bps,top_depth,trade_imbalance,best_bid,best_ask,ticker_last,provider_data_hash,kill_switch_on,risk_decision,max_size_multiplier,decision_reason,alert_confidence,alert_text
2026-05-31T10:45:07.935114+00:00,BTC/USDT,CAUTION,REDUCE_SIZE,0.43561,0.01354724,0.652265,0.54,73815.7,73815.8,73815.8,a57b55f42a90eece5e4d1bddb81a6d1b5cf78b90c2320fb64ffe20e11e1e7c2a,FALSE,REDUCE_SIZE,0.25,"LOW_DEPTH,CAUTION_OR_REDUCE_SIZE_GUIDANCE",0.46,IMBALANCE_SPIKE
2026-05-31T10:45:07.935114+00:00,ETH/USDT,NORMAL,EXECUTE,0.041555,0.04953106,8.7396,0.02,2018.93,2018.94,2018.93,be53a7a33afb55683d822312601b859f6cc29330aa383b66820ec913a7acaa59,FALSE,REDUCE_SIZE,0.5,HIGH_CONFIDENCE_ALERT,0.722833,IMBALANCE_SPIKE
2026-05-31T10:45:07.935114+00:00,SOL/USDT,NORMAL,EXECUTE,0.125425,1.21043394,314.055,0.28,82.61,82.62,82.62,084d7d484bdb9e824f42e08ce61daa7b2676b4adf31f3678dee143e3aa2a4e80,FALSE,ALLOW,1.0,CONDITIONS_ACCEPTABLE,0.665728,IMBALANCE_SPIKE
2026-05-31T10:45:07.935114+00:00,BNB/USDT,NORMAL,EXECUTE,0.102027,1.38283897,8.621,0.02,723.1,723.2,723.2,42591204fa397aeaf43c5364217728f1a39f64625f90fffb8a20c90c2847818b,FALSE,ALLOW,1.0,CONDITIONS_ACCEPTABLE,0.353194,REGIME_TRANSITION_CAUTION_TO_NORMAL
2026-05-31T10:45:07.935114+00:00,XRP/USDT,NORMAL,EXECUTE,0.158702,0.748139,8313.053,0.5,1.3366,1.3367,1.3366,4343cdb305c6bab43de422f6330f13c23ba9a8d6c247956ba3c743e093cd390c,FALSE,ALLOW,1.0,CONDITIONS_ACCEPTABLE,0.56,"IMBALANCE_SPIKE,REGIME_TRANSITION_CAUTION_TO_NORMAL"
2026-05-31T10:45:07.935114+00:00,DOGE/USDT,NORMAL,EXECUTE,0.114818,0.99547061,13545.15,0.28,0.10045,0.10046,0.10045,e683a4b756a1a1b807eab04401ba37bd045784d2af7b18ec8450f19e34ead580,FALSE,ALLOW,1.0,CONDITIONS_ACCEPTABLE,0.515041,IMBALANCE_SPIKE
2026-05-31T10:45:07.935114+00:00,ADA/USDT,NORMAL,EXECUTE,0.200517,4.23280423,7419.63,0.04,0.2362,0.2363,0.2362,34606dcf3471d7dac7f1cca0b6be320e2a333d14c90b4eebd4cc7f88b783c649,FALSE,ALLOW,1.0,CONDITIONS_ACCEPTABLE,0.37,REGIME_TRANSITION_CAUTION_TO_NORMAL
2026-05-31T10:45:07.935114+00:00,AVAX/USDT,NORMAL,EXECUTE,0.157605,1.11476506,40.322,0.4,8.97,8.971,8.969,1d475ee5abbb0bd39036422eda8e8da5c7b5f09041eb0a20300c20ca43fb0113,FALSE,ALLOW,1.0,CONDITIONS_ACCEPTABLE,0.466227,IMBALANCE_SPIKE
2026-05-31T10:45:07.935114+00:00,LINK/USDT,NORMAL,EXECUTE,0.059923,1.08914665,329.33,0.04,9.181,9.182,9.181,3674fe04f9c161124f00c69af2f9b7888b231b9b56fb32f6102b2859330a57ce,FALSE,ALLOW,1.0,CONDITIONS_ACCEPTABLE,0.649652,SPREAD_EXPANDING_FAST
2026-05-31T10:45:07.935114+00:00,TON/USDT,NORMAL,EXECUTE,0.200673,3.71796574,89.17,0.12,1.8824,1.8831,1.8834,a650657a41ef3e8f466b051207b36db31aea430169959a3b0a0304433ad13b3a,FALSE,ALLOW,1.0,CONDITIONS_ACCEPTABLE,0.676967,SPREAD_EXPANDING_FAST
