receipt_written_at,source_timestamp_utc,exchange,symbol,best_bid,best_ask,spread_bps,top_depth,trade_count_100,buy_trades_100,sell_trades_100,ticker_last,provider_data_hash,stress_score,spread_score,depth_score,imbalance_score,trade_imbalance,regime,guidance
2026-05-25T08:37:58.524800+00:00,2026-05-24T17:56:35.701945+00:00,gateio,BTC/USDT,76702.6,76702.7,0.01303736,0.539989,100,53,47,76702.6,4725e19c54ae3efd0a992376f7e816c1de178b003832ab899da9c6afa4c329fa,0.315587,0.001304,1.0,0.06,0.06,CAUTION,REDUCE_SIZE
2026-05-25T08:37:58.524800+00:00,2026-05-25T08:37:46.303176+00:00,gateio,ETH/USDT,2114.17,2114.18,0.04729977,7.4094,100,36,64,2114.18,8c481b55d16554493aec79ee48e86bca85ba950e17c1c32a456ec4fb34392e39,0.112618,0.00473,0.134964,0.28,0.28,NORMAL,EXECUTE
2026-05-25T08:37:58.524800+00:00,2026-05-25T08:37:47.737415+00:00,gateio,SOL/USDT,85.93,85.94,1.16367022,69.904,100,43,57,85.93,9b1579e852b933ae832242f76c700170ad1a47b6285b220235070d0c25d31c66,0.091657,0.116367,0.014305,0.14,0.14,NORMAL,EXECUTE
2026-05-25T08:37:58.524800+00:00,2026-05-25T08:37:49.379198+00:00,gateio,BNB/USDT,661.7,661.8,1.51114469,6.568,100,40,60,661.7,684ff5d16d02b1c412d9c276319bb8442af967e25179d972f99d17dcbcf66774,0.163678,0.151114,0.152253,0.2,0.2,NORMAL,EXECUTE
2026-05-25T08:37:58.524800+00:00,2026-05-25T08:37:50.566992+00:00,gateio,XRP/USDT,1.363,1.364,7.33406674,8754.884,100,34,66,1.364,40ceb901f2aefe1c85aadc8f033a0973ce820d2edf49ed3d364393d1bebe4dac,0.410067,0.733407,0.000114,0.32,0.32,CAUTION,REDUCE_SIZE
2026-05-25T08:37:58.524800+00:00,2026-05-25T08:37:51.691067+00:00,gateio,DOGE/USDT,0.10277,0.10278,0.97299927,10792.11,100,52,48,0.10276,2d5b9f5be3035453b992b84c366f58ff8be88f2ff589caabe7917aa68e8109ec,0.053813,0.0973,9.3e-05,0.04,0.04,NORMAL,EXECUTE
2026-05-25T08:37:58.524800+00:00,2026-05-25T08:37:53.400093+00:00,gateio,ADA/USDT,0.2446,0.2447,4.0874719,29980.420000000002,100,63,37,0.2447,4fcf0366b2b6c22b490ffb981377d41aa68a3bea91fad4be0f649f43bd2b13b0,0.248946,0.408747,3.3e-05,0.26,0.26,NORMAL,EXECUTE
2026-05-25T08:37:58.524800+00:00,2026-05-25T08:37:54.976039+00:00,gateio,AVAX/USDT,9.342,9.343,1.07037731,37.747,100,64,36,9.341,4ebfa9efdcbcd5aa4f2eca1322e202ee345b9d198b7f7adcfdd09454b00d45fd,0.126115,0.107038,0.026492,0.28,0.28,NORMAL,EXECUTE
2026-05-25T08:37:58.524800+00:00,2026-05-25T08:37:56.480577+00:00,gateio,LINK/USDT,9.516,9.519,3.15208826,87.37,100,44,56,9.519,666d1bb61e3144129c5cc560f354828914d8a620a0bfb920dd2249740776c59c,0.175278,0.315209,0.011446,0.12,0.12,NORMAL,EXECUTE
2026-05-25T08:37:58.524800+00:00,2026-05-25T08:37:58.099516+00:00,gateio,TON/USDT,1.8037,1.8044,3.88015853,115.28,100,41,59,1.8043,d84ef41a5d74dbf33372a411345bb4156338a43b652752fc3118e97188791072,0.222209,0.388016,0.008675,0.18,0.18,NORMAL,EXECUTE
