symbol,current_regime,current_guidance,current_risk_decision,current_stress_score,spread_bps,top_depth,trade_imbalance,learned_action,learned_confidence,learned_score,learning_reason,global_action_stats,symbol_action_stats,provider_data_hash
BTC/USDT,CAUTION,REDUCE_SIZE,REDUCE_SIZE,0.43561,0.01354724,0.652265,0.54,KEEP_CURRENT_RULES,LOW,0.0,NO_ACTION_HAS_POSITIVE_ROBUST_SCORE,"{'REDUCE_SIZE': {'samples': 2, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.1, 'robust_policy_score': 0.0}, 'ALLOW': {'samples': 8, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.4, 'robust_policy_score': 0.0}}","{'REDUCE_SIZE': {'samples': 1, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.05, 'robust_policy_score': 0.0}}",a57b55f42a90eece5e4d1bddb81a6d1b5cf78b90c2320fb64ffe20e11e1e7c2a
ETH/USDT,NORMAL,EXECUTE,REDUCE_SIZE,0.041555,0.04953106,8.7396,0.02,KEEP_CURRENT_RULES,LOW,0.0,NO_ACTION_HAS_POSITIVE_ROBUST_SCORE,"{'REDUCE_SIZE': {'samples': 2, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.1, 'robust_policy_score': 0.0}, 'ALLOW': {'samples': 8, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.4, 'robust_policy_score': 0.0}}","{'REDUCE_SIZE': {'samples': 1, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.05, 'robust_policy_score': 0.0}}",be53a7a33afb55683d822312601b859f6cc29330aa383b66820ec913a7acaa59
SOL/USDT,NORMAL,EXECUTE,ALLOW,0.125425,1.21043394,314.055,0.28,KEEP_CURRENT_RULES,LOW,0.0,NO_ACTION_HAS_POSITIVE_ROBUST_SCORE,"{'REDUCE_SIZE': {'samples': 2, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.1, 'robust_policy_score': 0.0}, 'ALLOW': {'samples': 8, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.4, 'robust_policy_score': 0.0}}","{'ALLOW': {'samples': 1, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.05, 'robust_policy_score': 0.0}}",084d7d484bdb9e824f42e08ce61daa7b2676b4adf31f3678dee143e3aa2a4e80
BNB/USDT,NORMAL,EXECUTE,ALLOW,0.102027,1.38283897,8.621,0.02,KEEP_CURRENT_RULES,LOW,0.0,NO_ACTION_HAS_POSITIVE_ROBUST_SCORE,"{'REDUCE_SIZE': {'samples': 2, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.1, 'robust_policy_score': 0.0}, 'ALLOW': {'samples': 8, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.4, 'robust_policy_score': 0.0}}","{'ALLOW': {'samples': 1, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.05, 'robust_policy_score': 0.0}}",42591204fa397aeaf43c5364217728f1a39f64625f90fffb8a20c90c2847818b
XRP/USDT,NORMAL,EXECUTE,ALLOW,0.158702,0.748139,8313.053,0.5,KEEP_CURRENT_RULES,LOW,0.0,NO_ACTION_HAS_POSITIVE_ROBUST_SCORE,"{'REDUCE_SIZE': {'samples': 2, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.1, 'robust_policy_score': 0.0}, 'ALLOW': {'samples': 8, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.4, 'robust_policy_score': 0.0}}","{'ALLOW': {'samples': 1, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.05, 'robust_policy_score': 0.0}}",4343cdb305c6bab43de422f6330f13c23ba9a8d6c247956ba3c743e093cd390c
DOGE/USDT,NORMAL,EXECUTE,ALLOW,0.114818,0.99547061,13545.15,0.28,KEEP_CURRENT_RULES,LOW,0.0,NO_ACTION_HAS_POSITIVE_ROBUST_SCORE,"{'REDUCE_SIZE': {'samples': 2, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.1, 'robust_policy_score': 0.0}, 'ALLOW': {'samples': 8, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.4, 'robust_policy_score': 0.0}}","{'ALLOW': {'samples': 1, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.05, 'robust_policy_score': 0.0}}",e683a4b756a1a1b807eab04401ba37bd045784d2af7b18ec8450f19e34ead580
ADA/USDT,NORMAL,EXECUTE,ALLOW,0.200517,4.23280423,7419.63,0.04,KEEP_CURRENT_RULES,LOW,0.0,NO_ACTION_HAS_POSITIVE_ROBUST_SCORE,"{'REDUCE_SIZE': {'samples': 2, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.1, 'robust_policy_score': 0.0}, 'ALLOW': {'samples': 8, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.4, 'robust_policy_score': 0.0}}","{'ALLOW': {'samples': 1, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.05, 'robust_policy_score': 0.0}}",34606dcf3471d7dac7f1cca0b6be320e2a333d14c90b4eebd4cc7f88b783c649
AVAX/USDT,NORMAL,EXECUTE,ALLOW,0.157605,1.11476506,40.322,0.4,KEEP_CURRENT_RULES,LOW,0.0,NO_ACTION_HAS_POSITIVE_ROBUST_SCORE,"{'REDUCE_SIZE': {'samples': 2, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.1, 'robust_policy_score': 0.0}, 'ALLOW': {'samples': 8, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.4, 'robust_policy_score': 0.0}}","{'ALLOW': {'samples': 1, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.05, 'robust_policy_score': 0.0}}",1d475ee5abbb0bd39036422eda8e8da5c7b5f09041eb0a20300c20ca43fb0113
LINK/USDT,NORMAL,EXECUTE,ALLOW,0.059923,1.08914665,329.33,0.04,KEEP_CURRENT_RULES,LOW,0.0,NO_ACTION_HAS_POSITIVE_ROBUST_SCORE,"{'REDUCE_SIZE': {'samples': 2, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.1, 'robust_policy_score': 0.0}, 'ALLOW': {'samples': 8, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.4, 'robust_policy_score': 0.0}}","{'ALLOW': {'samples': 1, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.05, 'robust_policy_score': 0.0}}",3674fe04f9c161124f00c69af2f9b7888b231b9b56fb32f6102b2859330a57ce
TON/USDT,NORMAL,EXECUTE,ALLOW,0.200673,3.71796574,89.17,0.12,KEEP_CURRENT_RULES,LOW,0.0,NO_ACTION_HAS_POSITIVE_ROBUST_SCORE,"{'REDUCE_SIZE': {'samples': 2, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.1, 'robust_policy_score': 0.0}, 'ALLOW': {'samples': 8, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.4, 'robust_policy_score': 0.0}}","{'ALLOW': {'samples': 1, 'avg_net_policy_advantage': 0.0, 'positive_rate': 0.0, 'negative_rate': 0.0, 'sample_confidence': 0.05, 'robust_policy_score': 0.0}}",a650657a41ef3e8f466b051207b36db31aea430169959a3b0a0304433ad13b3a
