receipt_written_at,symbol,orchestrator_action,execution_route,risk_decision,policy_stage,policy_trust_label,spread_bps,top_depth,stress_score,trade_imbalance,execution_style,order_type,slicing_required,slice_count,urgency,reason,provider_data_hash
2026-06-30T14:13:59.685404+00:00,BTC/USDT,NO_ACTION,NONE,REDUCE_SIZE,DRAFT,UNTRUSTED,0.01354724,0.652265,0.43561,0.54,NO_EXECUTION,NONE,FALSE,0,NONE,ORCHESTRATOR_BLOCKED_OR_NO_ACTION,a57b55f42a90eece5e4d1bddb81a6d1b5cf78b90c2320fb64ffe20e11e1e7c2a
2026-06-30T14:13:59.685404+00:00,ETH/USDT,NO_ACTION,NONE,REDUCE_SIZE,DRAFT,UNTRUSTED,0.04953106,8.7396,0.041555,0.02,NO_EXECUTION,NONE,FALSE,0,NONE,ORCHESTRATOR_BLOCKED_OR_NO_ACTION,be53a7a33afb55683d822312601b859f6cc29330aa383b66820ec913a7acaa59
2026-06-30T14:13:59.685404+00:00,SOL/USDT,NO_ACTION,NONE,ALLOW,DRAFT,UNTRUSTED,1.21043394,314.055,0.125425,0.28,NO_EXECUTION,NONE,FALSE,0,NONE,ORCHESTRATOR_BLOCKED_OR_NO_ACTION,084d7d484bdb9e824f42e08ce61daa7b2676b4adf31f3678dee143e3aa2a4e80
2026-06-30T14:13:59.685404+00:00,BNB/USDT,NO_ACTION,NONE,ALLOW,DRAFT,UNTRUSTED,1.38283897,8.621,0.102027,0.02,NO_EXECUTION,NONE,FALSE,0,NONE,ORCHESTRATOR_BLOCKED_OR_NO_ACTION,42591204fa397aeaf43c5364217728f1a39f64625f90fffb8a20c90c2847818b
2026-06-30T14:13:59.685404+00:00,XRP/USDT,NO_ACTION,NONE,ALLOW,DRAFT,UNTRUSTED,0.748139,8313.053,0.158702,0.5,NO_EXECUTION,NONE,FALSE,0,NONE,ORCHESTRATOR_BLOCKED_OR_NO_ACTION,4343cdb305c6bab43de422f6330f13c23ba9a8d6c247956ba3c743e093cd390c
2026-06-30T14:13:59.685404+00:00,DOGE/USDT,NO_ACTION,NONE,ALLOW,DRAFT,UNTRUSTED,0.99547061,13545.15,0.114818,0.28,NO_EXECUTION,NONE,FALSE,0,NONE,ORCHESTRATOR_BLOCKED_OR_NO_ACTION,e683a4b756a1a1b807eab04401ba37bd045784d2af7b18ec8450f19e34ead580
2026-06-30T14:13:59.685404+00:00,ADA/USDT,NO_ACTION,NONE,ALLOW,DRAFT,UNTRUSTED,4.23280423,7419.63,0.200517,0.04,NO_EXECUTION,NONE,FALSE,0,NONE,ORCHESTRATOR_BLOCKED_OR_NO_ACTION,34606dcf3471d7dac7f1cca0b6be320e2a333d14c90b4eebd4cc7f88b783c649
2026-06-30T14:13:59.685404+00:00,AVAX/USDT,NO_ACTION,NONE,ALLOW,DRAFT,UNTRUSTED,1.11476506,40.322,0.157605,0.4,NO_EXECUTION,NONE,FALSE,0,NONE,ORCHESTRATOR_BLOCKED_OR_NO_ACTION,1d475ee5abbb0bd39036422eda8e8da5c7b5f09041eb0a20300c20ca43fb0113
2026-06-30T14:13:59.685404+00:00,LINK/USDT,NO_ACTION,NONE,ALLOW,DRAFT,UNTRUSTED,1.08914665,329.33,0.059923,0.04,NO_EXECUTION,NONE,FALSE,0,NONE,ORCHESTRATOR_BLOCKED_OR_NO_ACTION,3674fe04f9c161124f00c69af2f9b7888b231b9b56fb32f6102b2859330a57ce
2026-06-30T14:13:59.685404+00:00,TON/USDT,NO_ACTION,NONE,ALLOW,DRAFT,UNTRUSTED,3.71796574,89.17,0.200673,0.12,NO_EXECUTION,NONE,FALSE,0,NONE,ORCHESTRATOR_BLOCKED_OR_NO_ACTION,a650657a41ef3e8f466b051207b36db31aea430169959a3b0a0304433ad13b3a
